Name,Winner_Loser,Has three words,Starts A,Starts B,Start letter,First Name Length,Starts C,Last Name Length,First and Last names of equal length,Second letter of first name
Ed Pednault, - ,0,FALSE,FALSE,E,2,FALSE,8,FALSE,d
Neela Khan, + ,0,FALSE,FALSE,N,5,FALSE,4,FALSE,e
Bir Bhanu, + ,0,FALSE,TRUE,B,3,FALSE,5,FALSE,i
Arlindo Oliveira, - ,0,TRUE,FALSE,A,7,FALSE,8,FALSE,r
Irina Tchoumatchenko, - ,0,FALSE,FALSE,I,5,FALSE,14,FALSE,r
Robert C. Holte, + ,1,FALSE,FALSE,R,6,FALSE,5,FALSE,o
Michele Sebag, + ,0,FALSE,FALSE,M,7,FALSE,5,FALSE,i
Jorg-Uwe Kietz, + ,0,FALSE,FALSE,J,8,FALSE,5,FALSE,o
Yoshifumi Sakai, + ,0,FALSE,FALSE,Y,9,FALSE,5,FALSE,o
Thomas E. Kammeyer, - ,1,FALSE,FALSE,T,6,FALSE,8,FALSE,h
Yoav Freund, + ,0,FALSE,FALSE,Y,4,FALSE,6,FALSE,o
R. Andrew McCallum, - ,1,FALSE,FALSE,R,2,FALSE,8,FALSE,.
Jonathan Gratch, + ,0,FALSE,FALSE,J,8,FALSE,6,FALSE,o
Margo Guertin, + ,0,FALSE,FALSE,M,5,FALSE,7,FALSE,a
Huw Roberts, + ,0,FALSE,FALSE,H,3,FALSE,7,FALSE,u
Sally Goldman, + ,0,FALSE,FALSE,S,5,FALSE,7,FALSE,a
Bhaskar Dasgupta, - ,0,FALSE,TRUE,B,7,FALSE,8,FALSE,h
Fernando Pereira, + ,0,FALSE,FALSE,F,8,FALSE,7,FALSE,e
Nina Mishra, + ,0,FALSE,FALSE,N,4,FALSE,6,FALSE,i
Wray Buntine, - ,0,FALSE,FALSE,W,4,FALSE,7,FALSE,r
William A. Greene, + ,1,FALSE,FALSE,W,7,FALSE,6,FALSE,i
Yolanda Gil, + ,0,FALSE,FALSE,Y,7,FALSE,3,FALSE,o
Chris Drummond, - ,0,FALSE,FALSE,C,5,TRUE,8,FALSE,h
Claude Sammut, - ,0,FALSE,FALSE,C,6,TRUE,6,TRUE,l
Charles X. Ling, - ,1,FALSE,FALSE,C,7,TRUE,4,FALSE,h
Sanjay Jain, + ,0,FALSE,FALSE,S,6,FALSE,4,FALSE,a
Stefan Kramer, - ,0,FALSE,FALSE,S,6,FALSE,6,TRUE,t
Cristina Baroglio, - ,0,FALSE,FALSE,C,8,TRUE,8,TRUE,r
Dwight Schrute, + ,0,FALSE,FALSE,D,6,FALSE,7,FALSE,w
Leslie Pack Kaelbling, + ,1,FALSE,FALSE,L,6,FALSE,9,FALSE,e
Philip Chan, - ,0,FALSE,FALSE,P,6,FALSE,4,FALSE,h
Yishay Mansour, + ,0,FALSE,FALSE,Y,6,FALSE,7,FALSE,i
Michael I. Jordan, + ,1,FALSE,FALSE,M,7,FALSE,6,FALSE,i
Patrick M. Murphy, + ,1,FALSE,FALSE,P,7,FALSE,6,FALSE,a
Karsten Verbeurgt, + ,0,FALSE,FALSE,K,7,FALSE,9,FALSE,a
Attilio Giordana, - ,0,TRUE,FALSE,A,7,FALSE,8,FALSE,t
Gerald F. DeJong, + ,1,FALSE,FALSE,G,6,FALSE,6,TRUE,e
Thomas Zeugmann, - ,0,FALSE,FALSE,T,6,FALSE,8,FALSE,h
Mandayam T. Suraj, + ,1,FALSE,FALSE,M,8,FALSE,5,FALSE,a
Michael Littman, + ,0,FALSE,FALSE,M,7,FALSE,7,TRUE,i
Shaul Markovitch, - ,0,FALSE,FALSE,S,5,FALSE,10,FALSE,h
Eric Allender, - ,0,FALSE,FALSE,E,4,FALSE,8,FALSE,r
Cullen Schaffer, + ,0,FALSE,FALSE,C,6,TRUE,8,FALSE,u
Roberto Piola, + ,0,FALSE,FALSE,R,7,FALSE,5,FALSE,o
Nader Bshouty, + ,0,FALSE,FALSE,N,5,FALSE,7,FALSE,a
Bruce A. MacDonald, - ,1,FALSE,TRUE,B,5,FALSE,9,FALSE,r
Kamal M. Ali, + ,1,FALSE,FALSE,K,5,FALSE,3,FALSE,a
Foster J. Provost, + ,1,FALSE,FALSE,F,6,FALSE,7,FALSE,o
Wolfgang Janko, + ,0,FALSE,FALSE,W,8,FALSE,5,FALSE,o
Seth Flanders, + ,0,FALSE,FALSE,S,4,FALSE,8,FALSE,e
Peter Bartlett, + ,0,FALSE,FALSE,P,5,FALSE,8,FALSE,e
Craig Knoblock, - ,0,FALSE,FALSE,C,5,TRUE,8,FALSE,r
Earl S. Harris Jr., + ,2,FALSE,FALSE,E,4,FALSE,3,FALSE,a
Prasad Tadepalli, - ,0,FALSE,FALSE,P,6,FALSE,9,FALSE,r
Stan Matwin, - ,0,FALSE,FALSE,S,4,FALSE,6,FALSE,t
Pascal Koiran, + ,0,FALSE,FALSE,P,6,FALSE,6,TRUE,a
Sandra Panizza, + ,0,FALSE,FALSE,S,6,FALSE,7,FALSE,a
George Berg, + ,0,FALSE,FALSE,G,6,FALSE,4,FALSE,e
Stephen Kwek, - ,0,FALSE,FALSE,S,7,FALSE,4,FALSE,t
J. R. Quinlan, - ,1,FALSE,FALSE,J,2,FALSE,7,FALSE,.
Sebastian Seung, + ,0,FALSE,FALSE,S,9,FALSE,5,FALSE,e
Susan L. Epstein, + ,1,FALSE,FALSE,S,5,FALSE,7,FALSE,u
Priscilla Rasmussen, - ,0,FALSE,FALSE,P,9,FALSE,9,TRUE,r
Steven Minton, - ,0,FALSE,FALSE,S,6,FALSE,6,TRUE,t
Lance Riley, + ,0,FALSE,FALSE,L,5,FALSE,5,TRUE,a
Jose L. Balcazar, + ,1,FALSE,FALSE,J,4,FALSE,8,FALSE,o
William Sakas, + ,0,FALSE,FALSE,W,7,FALSE,5,FALSE,i
Claudio Facchinetti, - ,0,FALSE,FALSE,C,7,TRUE,11,FALSE,l
Vijay Raghavan, + ,0,FALSE,FALSE,V,5,FALSE,8,FALSE,i
Bob Evans, + ,0,FALSE,TRUE,B,3,FALSE,5,FALSE,o
Neil Berkman, + ,0,FALSE,FALSE,N,4,FALSE,7,FALSE,e
Masayuki Inaba, + ,0,FALSE,FALSE,M,8,FALSE,5,FALSE,a
Shai Ben-David, - ,0,FALSE,FALSE,S,4,FALSE,9,FALSE,h
Dan Roth, + ,0,FALSE,FALSE,D,3,FALSE,4,FALSE,a
Lisa Hellerstein, + ,0,FALSE,FALSE,L,4,FALSE,11,FALSE,i
Geoffrey Gordon, + ,0,FALSE,FALSE,G,8,FALSE,6,FALSE,e
Paul Vitanyi, + ,0,FALSE,FALSE,P,4,FALSE,7,FALSE,a
Anselm Blumer, - ,0,TRUE,FALSE,A,6,FALSE,6,TRUE,n
